topic_id,topic_label,n_docs,ai_sentiment_mean,human_sentiment_mean,admiration_mean,gratitude_mean,love_mean,sadness_mean,grief_mean,nervousness_mean
65,lmao / lol / lmfao,49,1.0,-1.0,0.02297121733997245,0.022301387677933753,0.008923945870079403,0.004979401869623333,0.000417172300572298,0.00043358052284836923
68,account / email / address,48,-1.0,,0.005796803667180939,0.08544636160271087,0.004785673207758616,0.03296349792071851,0.0015959421540780265,0.010023339938622181
69,sonnet / opus / sonnet opus,47,0.5,0.0,0.14761881308600386,0.015150096140209922,0.07662615010594116,0.004101688424348237,0.0008492047828498316,0.005436118359632909
70,Topic 70,47,,,0.004225939249699103,0.0007510276881611331,0.010145530024137189,0.0034242457180145257,0.0006454728780304419,0.0006054564616940123
71,thank thank / thank,47,,,0.006236022853470863,0.9886478363199437,0.019638310174180315,0.002998111293988025,0.0005798576135891787,0.00026658944168841427
72,santa / naughty / gift,47,,,0.02796752465532181,0.01644881865897642,0.10546721794711862,0.009290999871619205,0.0007836045446543102,0.0016796567620947322
73,chat gpt / gpt / chat,46,0.6,,0.05812022660393268,0.002024705575224842,0.014615017825828703,0.03911843759377244,0.0014737016469513512,0.00988337365782607
74,removed removed / removed,46,,,0.002688332172313138,0.0013874703512081633,0.002199899395117941,0.02526336905809686,0.0027043913192439663,0.0011180583077594233
75,sam / altman / sam altman,46,-1.0,-1.0,0.04242477590805325,0.04653259821276626,0.04190939168367312,0.026680417663832803,0.0015705094888487467,0.0017131388620169753
78,thinking / don read / thinking thinking,45,0.5,,0.05960758373451729,0.019772066917761955,0.03692419195689985,0.05203907801122922,0.0016553009055011595,0.00253752886912682
79,Topic 79,45,,,0.00387582462022288,0.0008092283122500197,0.035614541254471985,0.004470920231607225,0.0006317345613044583,0.000631115265423432
77,api / replit / access,45,0.0,,0.06553235912126386,0.10081368674032597,0.01517758244752056,0.019066770814566147,0.001012808163553321,0.0013130933107782362
76,Topic 76,45,,,0.003189361799094412,0.0006698153014036102,0.02053589195323487,0.006052965960568852,0.0005648837004426038,0.0005242708798808356
80,dream / moon / rain,44,,1.0,0.07579476358395451,0.11486878794113925,0.10857850441441935,0.03283826451462863,0.001878222119557904,0.0019288690321197712
81,rob / thank rob / rob lani,44,0.3333333333333333,1.0,0.19582941245277075,0.7556973770617994,0.10336010601498526,0.019638632601444526,0.0014529337184450758,0.0005402330700069962
82,Topic 82,44,,,0.005549240465783937,0.0008263390554930083,0.049308155340523546,0.02578121416445356,0.0011297638987095772,0.000982163596662841
83,thank thank / thank,44,,,0.0062110339587723665,0.9888122488151897,0.009719708675137636,0.0026559034912762318,0.000520046771932605,0.00024428187779531896
84,new,44,,,0.004524912851841443,0.0009509725218363615,0.037338068019545805,0.0025116811726051806,0.0005161103945283685,0.0005099055762746667
85,prompt / prompts / tip,43,-1.0,,0.007002631481195432,0.13264456189469012,0.011582678887819829,0.010385881195001867,0.0006291742485996639,0.001052148243531498
86,fantastic / far good / wonderful,43,1.0,1.0,0.6304557289451708,0.006043312560799424,0.24773885093921752,0.022258609517065937,0.0007755352075206289,0.0006310853397820231
89,evidence / god / bible,42,,,0.03581131700636996,0.0017122147761429438,0.0018398843766633598,0.006921688421806764,0.0004969604858723912,0.0007722855152678676
